Id,Date,WeightKg,HeightMeters,WeightPounds,Fat,IsManualReport,LogId
1503960366,5/2/2016 11:59:59 PM,52.6,1.52,115.9632,22,True,1462233599000
1503960366,5/3/2016 11:59:59 PM,52.6,1.52,115.9632,,True,1462319999000
1927972279,4/13/2016 1:08:52 AM,133.5,1.68,294.3171,,False,1460509732000
2873212765,4/21/2016 11:59:59 PM,56.7,1.63,125.0021,,True,1461283199000
2873212765,5/12/2016 11:59:59 PM,57.3,1.63,126.3249,,True,1463097599000
4319703577,4/17/2016 11:59:59 PM,72.4,1.62,159.6147,25,True,1460937599000
4319703577,5/4/2016 11:59:59 PM,72.3,1.62,159.3942,,True,1462406399000
4558609924,4/18/2016 11:59:59 PM,69.7,1.60,153.6622,,True,1461023999000
4558609924,4/25/2016 11:59:59 PM,70.3,1.60,154.985,,True,1461628799000
4558609924,5/1/2016 11:59:59 PM,69.9,1.60,154.1031,,True,1462147199000
4558609924,5/2/2016 11:59:59 PM,69.2,1.60,152.5599,,True,1462233599000
4558609924,5/9/2016 11:59:59 PM,69.1,1.60,152.3394,,True,1462838399000
5577150313,4/17/2016 9:17:55 AM,90.7,1.80,199.9593,,False,1460884675000
6962181067,4/12/2016 11:59:59 PM,62.5,1.60,137.7889,,True,1460505599000
6962181067,4/13/2016 11:59:59 PM,62.1,1.60,136.9071,,True,1460591999000
6962181067,4/14/2016 11:59:59 PM,61.7,1.60,136.0252,,True,1460678399000
6962181067,4/15/2016 11:59:59 PM,61.5,1.60,135.5843,,True,1460764799000
6962181067,4/16/2016 11:59:59 PM,62,1.60,136.6866,,True,1460851199000
6962181067,4/17/2016 11:59:59 PM,61.4,1.60,135.3638,,True,1460937599000
6962181067,4/18/2016 11:59:59 PM,61.2,1.60,134.9229,,True,1461023999000
6962181067,4/19/2016 11:59:59 PM,61.4,1.60,135.3638,,True,1461110399000
6962181067,4/20/2016 11:59:59 PM,61.7,1.60,136.0252,,True,1461196799000
6962181067,4/21/2016 11:59:59 PM,61.4,1.60,135.3638,,True,1461283199000
6962181067,4/22/2016 11:59:59 PM,61.4,1.60,135.3638,,True,1461369599000
6962181067,4/23/2016 11:59:59 PM,61.5,1.60,135.5843,,True,1461455999000
6962181067,4/24/2016 11:59:59 PM,61.5,1.60,135.5843,,True,1461542399000
6962181067,4/25/2016 11:59:59 PM,61.7,1.60,136.0252,,True,1461628799000
6962181067,4/27/2016 11:59:59 PM,61.2,1.60,134.9229,,True,1461801599000
6962181067,4/28/2016 11:59:59 PM,61.2,1.60,134.9229,,True,1461887999000
6962181067,4/29/2016 11:59:59 PM,61.4,1.60,135.3638,,True,1461974399000
6962181067,4/30/2016 11:59:59 PM,61,1.60,134.482,,True,1462060799000
6962181067,5/1/2016 11:59:59 PM,61.7,1.60,136.0252,,True,1462147199000
6962181067,5/2/2016 11:59:59 PM,61.5,1.60,135.5843,,True,1462233599000
6962181067,5/3/2016 11:59:59 PM,61,1.60,134.482,,True,1462319999000
6962181067,5/4/2016 11:59:59 PM,61.1,1.60,134.7024,,True,1462406399000
6962181067,5/5/2016 11:59:59 PM,61.3,1.60,135.1434,,True,1462492799000
6962181067,5/6/2016 11:59:59 PM,61.5,1.60,135.5843,,True,1462579199000
6962181067,5/7/2016 11:59:59 PM,61.2,1.60,134.9229,,True,1462665599000
6962181067,5/8/2016 11:59:59 PM,61.2,1.60,134.9229,,True,1462751999000
6962181067,5/9/2016 11:59:59 PM,62.4,1.60,137.5685,,True,1462838399000
6962181067,5/10/2016 11:59:59 PM,62.1,1.60,136.9071,,True,1462924799000
6962181067,5/11/2016 11:59:59 PM,61.9,1.60,136.4661,,True,1463011199000
6962181067,5/12/2016 11:59:59 PM,61.9,1.60,136.4661,,True,1463097599000
8877689391,4/12/2016 6:47:11 AM,85.8,1.83,189.1566,,False,1460443631000
8877689391,4/13/2016 6:55:00 AM,84.9,1.83,187.1725,,False,1460530500000
8877689391,4/14/2016 6:48:43 AM,84.5,1.83,186.2906,,False,1460616523000
8877689391,4/16/2016 1:39:25 PM,85.5,1.83,188.4952,,False,1460813965000
8877689391,4/18/2016 6:51:14 AM,85.8,1.83,189.1566,,False,1460962274000
8877689391,4/19/2016 6:39:31 AM,85.3,1.83,188.0543,,False,1461047971000
8877689391,4/20/2016 6:44:54 AM,84.9,1.83,187.1725,,False,1461134694000
8877689391,4/21/2016 6:50:27 AM,84.5,1.83,186.2906,,False,1461221427000
8877689391,4/23/2016 7:22:28 AM,85.5,1.83,188.4952,,False,1461396148000
8877689391,4/24/2016 7:38:05 AM,85.5,1.83,188.4952,,False,1461483485000
8877689391,4/25/2016 6:40:16 AM,85.4,1.83,188.2748,,False,1461566416000
8877689391,4/26/2016 6:50:27 AM,85.1,1.83,187.6134,,False,1461653427000
8877689391,4/27/2016 6:51:05 AM,85.4,1.83,188.2748,,False,1461739865000
8877689391,4/28/2016 6:50:03 AM,85.1,1.83,187.6134,,False,1461826203000
8877689391,4/29/2016 6:49:55 AM,84.9,1.83,187.1725,,False,1461912595000
8877689391,4/30/2016 7:49:03 AM,85.5,1.83,188.4952,,False,1462002543000
8877689391,5/1/2016 8:47:49 AM,85.3,1.83,188.0543,,False,1462092469000
8877689391,5/3/2016 6:49:41 AM,84.9,1.83,187.1725,,False,1462258181000
8877689391,5/4/2016 6:48:22 AM,84.4,1.83,186.0702,,False,1462344502000
8877689391,5/6/2016 6:43:35 AM,85,1.83,187.3929,,False,1462517015000
8877689391,5/8/2016 7:35:53 AM,85.4,1.83,188.2748,,False,1462692953000
8877689391,5/9/2016 6:39:44 AM,85.5,1.83,188.4952,,False,1462775984000
8877689391,5/11/2016 6:51:47 AM,85.4,1.83,188.2748,,False,1462949507000
8877689391,5/12/2016 6:42:53 AM,84,1.83,185.1883,,False,1463035373000
